,experiment,data_dir,auto_dataset,trans_dataset,num_stacks,d_model,d_ff,num_heads,dropout,autoencoder_dims,l_win,pre_mask,post_mask,batch_size,shuffle,dataloader_num_workers,auto_num_epoch,trans_num_epoch,load_dir,summary_dir,result_dir,checkpoint_dir,best_auto_model,auto_train_time,best_hybrid_model,hybrid_train_time,q_best,precision,recall,F1,inference_time
23,SCADA2_CEN_AUTO_2stacks_128dff_180auto_90trans_0_001lr_64batch,scada2,scada2,new_scada1,2,16,128,1,0.1,180,90,36,54,64,1,4,10,15,default,../experiments/FNet-Hybrid-GPU/SCADA2_CEN_AUTO_2stacks_128dff_180auto_90trans_0_001lr_64batch/scada2/summary/,../experiments/FNet-Hybrid-GPU/SCADA2_CEN_AUTO_2stacks_128dff_180auto_90trans_0_001lr_64batch/scada2/result/,../experiments/FNet-Hybrid-GPU/SCADA2_CEN_AUTO_2stacks_128dff_180auto_90trans_0_001lr_64batch/scada2/checkpoints/,best_autoencoder_9.pth,4.01686753431956,best_hybrid_14.pth,6.912812558809916,0.1,0.9639050952936601,1.0,0.9816208508278539,2.3813654939333597
24,SCADA1_CEN_AUTO_2stacks_128dff_150auto_50trans_0_01lr_64batch,scada1,scada1,new_scada1,2,16,128,1,0.1,150,50,20,30,64,1,4,10,15,default,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_2stacks_128dff_150auto_50trans_0_01lr_64batch/scada1/summary/,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_2stacks_128dff_150auto_50trans_0_01lr_64batch/scada1/result/,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_2stacks_128dff_150auto_50trans_0_01lr_64batch/scada1/checkpoints/,best_autoencoder_7.pth,3.608628424008687,best_hybrid_14.pth,5.404562242825826,0.1,0.9434592480277759,1.0,0.9709071584446127,1.5868707458178202
25,SCADA2_CEN_AUTO_2stacks_128dff_200auto_100trans_0_01lr_64batch,scada2,scada2,new_scada1,2,16,128,1,0.1,200,100,40,60,64,1,4,10,15,default,../experiments/FNet-Hybrid-GPU/SCADA2_CEN_AUTO_2stacks_128dff_200auto_100trans_0_01lr_64batch/scada2/summary/,../experiments/FNet-Hybrid-GPU/SCADA2_CEN_AUTO_2stacks_128dff_200auto_100trans_0_01lr_64batch/scada2/result/,../experiments/FNet-Hybrid-GPU/SCADA2_CEN_AUTO_2stacks_128dff_200auto_100trans_0_01lr_64batch/scada2/checkpoints/,best_autoencoder_9.pth,4.651431922117869,best_hybrid_14.pth,8.560630488395692,0.1,0.9666154225739718,1.0,0.9830243488163368,2.489867893854777
26,SCADA2_CEN_AUTO_2stacks_128dff_140auto_70trans_0_01lr_64batch,scada2,scada2,new_scada1,2,16,128,1,0.1,140,70,28,42,64,1,4,10,15,default,../experiments/FNet-Hybrid-GPU/SCADA2_CEN_AUTO_2stacks_128dff_140auto_70trans_0_01lr_64batch/scada2/summary/,../experiments/FNet-Hybrid-GPU/SCADA2_CEN_AUTO_2stacks_128dff_140auto_70trans_0_01lr_64batch/scada2/result/,../experiments/FNet-Hybrid-GPU/SCADA2_CEN_AUTO_2stacks_128dff_140auto_70trans_0_01lr_64batch/scada2/checkpoints/,best_autoencoder_9.pth,2.6246134757995607,best_hybrid_13.pth,5.7165832877159115,0.1,0.9547338613698855,1.0,0.976842812454074,1.7918591936429342
27,SCADA1_CEN_AUTO_2stacks_128dff_160auto_80trans_0_01lr_64batch,scada1,scada1,new_scada1,2,16,128,1,0.1,160,80,32,48,64,1,4,10,15,default,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_2stacks_128dff_160auto_80trans_0_01lr_64batch/scada1/summary/,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_2stacks_128dff_160auto_80trans_0_01lr_64batch/scada1/result/,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_2stacks_128dff_160auto_80trans_0_01lr_64batch/scada1/checkpoints/,best_autoencoder_9.pth,3.19678175052007,best_hybrid_14.pth,6.430294052759806,0.1,0.958640621885589,1.0,0.9788836309978121,2.1682736317316693
28,SCADA1_CEN_AUTO_2stacks_128dff_100auto_25trans_0_01lr_64batch,scada1,scada1,new_scada1,2,16,128,1,0.1,100,25,10,15,64,1,4,10,15,default,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_2stacks_128dff_100auto_25trans_0_01lr_64batch/scada1/summary/,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_2stacks_128dff_100auto_25trans_0_01lr_64batch/scada1/result/,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_2stacks_128dff_100auto_25trans_0_01lr_64batch/scada1/checkpoints/,best_autoencoder_7.pth,2.0652229030927023,best_hybrid_14.pth,3.4991610328356426,0.1,0.9260587769641797,0.9902129347969846,0.9570619591200195,1.2577322761217753
29,SCADA2_CEN_AUTO_2stacks_128dff_150auto_100trans_0_01lr_64batch,scada2,scada2,new_scada1,2,16,128,1,0.1,150,100,40,60,64,1,4,10,15,default,../experiments/FNet-Hybrid-GPU/SCADA2_CEN_AUTO_2stacks_128dff_150auto_100trans_0_01lr_64batch/scada2/summary/,../experiments/FNet-Hybrid-GPU/SCADA2_CEN_AUTO_2stacks_128dff_150auto_100trans_0_01lr_64batch/scada2/result/,../experiments/FNet-Hybrid-GPU/SCADA2_CEN_AUTO_2stacks_128dff_150auto_100trans_0_01lr_64batch/scada2/checkpoints/,best_autoencoder_9.pth,2.153223816553752,best_hybrid_14.pth,6.905096073945363,0.1,0.9667203944249549,1.0,0.9830786289350624,2.394669250647227
30,SCADA1_CEN_AUTO_2stacks_128dff_80auto_40trans_0_01lr_64batch,scada1,scada1,new_scada1,2,16,128,1,0.1,80,40,16,24,64,1,4,10,15,default,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_2stacks_128dff_80auto_40trans_0_01lr_64batch/scada1/summary/,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_2stacks_128dff_80auto_40trans_0_01lr_64batch/scada1/result/,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_2stacks_128dff_80auto_40trans_0_01lr_64batch/scada1/checkpoints/,best_autoencoder_7.pth,1.3022712469100952,best_hybrid_14.pth,3.6202690879503887,0.1,0.9369383788727563,0.9989273786597109,0.9669403936004531,1.587684174378713
31,SCADA2_CEN_AUTO_2stacks_128dff_160auto_80trans_0_01lr_64batch,scada2,scada2,new_scada1,2,16,128,1,0.1,160,80,32,48,64,1,4,10,15,default,../experiments/FNet-Hybrid-GPU/SCADA2_CEN_AUTO_2stacks_128dff_160auto_80trans_0_01lr_64batch/scada2/summary/,../experiments/FNet-Hybrid-GPU/SCADA2_CEN_AUTO_2stacks_128dff_160auto_80trans_0_01lr_64batch/scada2/result/,../experiments/FNet-Hybrid-GPU/SCADA2_CEN_AUTO_2stacks_128dff_160auto_80trans_0_01lr_64batch/scada2/checkpoints/,best_autoencoder_9.pth,3.1935640573501587,best_hybrid_14.pth,6.434715632597605,0.1,0.9590229312063808,1.0,0.9790829049824418,2.149904429912567
32,SCADA2_CEN_AUTO_2stacks_128dff_100auto_50trans_0_01lr_64batch,scada2,scada2,new_scada1,2,16,128,1,0.1,100,50,20,30,64,1,4,10,15,default,../experiments/FNet-Hybrid-GPU/SCADA2_CEN_AUTO_2stacks_128dff_100auto_50trans_0_01lr_64batch/scada2/summary/,../experiments/FNet-Hybrid-GPU/SCADA2_CEN_AUTO_2stacks_128dff_100auto_50trans_0_01lr_64batch/scada2/result/,../experiments/FNet-Hybrid-GPU/SCADA2_CEN_AUTO_2stacks_128dff_100auto_50trans_0_01lr_64batch/scada2/checkpoints/,best_autoencoder_9.pth,1.6379620512326558,best_hybrid_14.pth,4.24030970732371,0.1,0.9437362637362637,0.9989763632979713,0.970570950680349,1.5364534258842468
33,SCADA1_CEN_AUTO_2stacks_128dff_200auto_100trans_0_01lr_64batch,scada1,scada1,new_scada1,2,16,128,1,0.1,200,100,40,60,64,1,4,10,15,default,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_2stacks_128dff_200auto_100trans_0_01lr_64batch/scada1/summary/,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_2stacks_128dff_200auto_100trans_0_01lr_64batch/scada1/result/,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_2stacks_128dff_200auto_100trans_0_01lr_64batch/scada1/checkpoints/,best_autoencoder_8.pth,4.608268225193024,best_hybrid_14.pth,8.519682351748148,0.1,0.9666521153225653,1.0,0.9830433230068425,2.429638457298279
34,SCADA2_CEN_AUTO_2stacks_128dff_150auto_50trans_0_001lr_64batch,scada2,scada2,new_scada1,2,16,128,1,0.1,150,50,20,30,64,1,4,10,15,default,../experiments/FNet-Hybrid-GPU/SCADA2_CEN_AUTO_2stacks_128dff_150auto_50trans_0_001lr_64batch/scada2/summary/,../experiments/FNet-Hybrid-GPU/SCADA2_CEN_AUTO_2stacks_128dff_150auto_50trans_0_001lr_64batch/scada2/result/,../experiments/FNet-Hybrid-GPU/SCADA2_CEN_AUTO_2stacks_128dff_150auto_50trans_0_001lr_64batch/scada2/checkpoints/,best_autoencoder_9.pth,3.639059595266978,best_hybrid_14.pth,5.062298353513082,0.1,0.942356659935025,0.9999068337448176,0.9702791275850379,1.813384509086609
35,SCADA1_CEN_AUTO_2stacks_128dff_140auto_70trans_0_01lr_64batch,scada1,scada1,new_scada1,2,16,128,1,0.1,140,70,28,42,64,1,4,10,15,default,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_2stacks_128dff_140auto_70trans_0_01lr_64batch/scada1/summary/,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_2stacks_128dff_140auto_70trans_0_01lr_64batch/scada1/result/,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_2stacks_128dff_140auto_70trans_0_01lr_64batch/scada1/checkpoints/,best_autoencoder_6.pth,2.6232374548912047,best_hybrid_14.pth,5.72449349562327,0.1,0.9546359178481298,1.0,0.9767915437664669,1.8207072178522745
36,SCADA2_CEN_AUTO_2stacks_128dff_50auto_25trans_0_01lr_64batch,scada2,scada2,new_scada1,2,16,128,1,0.1,50,25,10,15,64,1,4,10,15,default,../experiments/FNet-Hybrid-GPU/SCADA2_CEN_AUTO_2stacks_128dff_50auto_25trans_0_01lr_64batch/scada2/summary/,../experiments/FNet-Hybrid-GPU/SCADA2_CEN_AUTO_2stacks_128dff_50auto_25trans_0_01lr_64batch/scada2/result/,../experiments/FNet-Hybrid-GPU/SCADA2_CEN_AUTO_2stacks_128dff_50auto_25trans_0_01lr_64batch/scada2/checkpoints/,best_autoencoder_9.pth,1.1478535811106363,best_hybrid_14.pth,3.4274037361145018,0.1,0.9238407308112402,0.9831197992339189,0.9525589014448611,1.2484109044075011
37,SCADA1_CEN_AUTO_2stacks_128dff_200auto_100trans_0_001lr_64batch,scada1,scada1,new_scada1,2,16,128,1,0.1,200,100,40,60,64,1,4,10,15,default,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_2stacks_128dff_200auto_100trans_0_001lr_64batch/scada1/summary/,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_2stacks_128dff_200auto_100trans_0_001lr_64batch/scada1/result/,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_2stacks_128dff_200auto_100trans_0_001lr_64batch/scada1/checkpoints/,best_autoencoder_9.pth,4.621664226055145,best_hybrid_14.pth,7.800290457407633,0.1,0.9670742822421389,1.0,0.9832615788559184,2.665584417184194
38,SCADA2_CEN_AUTO_3stacks_128dff_200auto_50trans_0_001lr_64batch,scada2,scada2,new_scada1,3,16,128,1,0.1,200,50,20,30,64,1,4,10,15,default,../experiments/FNet-Hybrid-GPU/SCADA2_CEN_AUTO_3stacks_128dff_200auto_50trans_0_001lr_64batch/scada2/summary/,../experiments/FNet-Hybrid-GPU/SCADA2_CEN_AUTO_3stacks_128dff_200auto_50trans_0_001lr_64batch/scada2/result/,../experiments/FNet-Hybrid-GPU/SCADA2_CEN_AUTO_3stacks_128dff_200auto_50trans_0_001lr_64batch/scada2/checkpoints/,best_autoencoder_9.pth,6.30899205605189,best_hybrid_14.pth,8.08339429696401,0.1,0.9461445118587976,1.0,0.9723270868052013,1.6071232875188193
39,SCADA2_CEN_AUTO_2stacks_128dff_200auto_100trans_0_001lr_64batch,scada2,scada2,new_scada1,2,16,128,1,0.1,200,100,40,60,64,1,4,10,15,default,../experiments/FNet-Hybrid-GPU/SCADA2_CEN_AUTO_2stacks_128dff_200auto_100trans_0_001lr_64batch/scada2/summary/,../experiments/FNet-Hybrid-GPU/SCADA2_CEN_AUTO_2stacks_128dff_200auto_100trans_0_001lr_64batch/scada2/result/,../experiments/FNet-Hybrid-GPU/SCADA2_CEN_AUTO_2stacks_128dff_200auto_100trans_0_001lr_64batch/scada2/checkpoints/,best_autoencoder_9.pth,4.644316057364146,best_hybrid_13.pth,7.820749692122141,0.1,0.9664320006072221,1.0,0.9829294888496464,2.653094700972239
40,SCADA1_CEN_AUTO_2stacks_128dff_180auto_90trans_0_01lr_64batch,scada1,scada1,new_scada1,2,16,128,1,0.1,180,90,36,54,64,1,4,10,15,default,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_2stacks_128dff_180auto_90trans_0_01lr_64batch/scada1/summary/,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_2stacks_128dff_180auto_90trans_0_01lr_64batch/scada1/result/,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_2stacks_128dff_180auto_90trans_0_01lr_64batch/scada1/checkpoints/,best_autoencoder_8.pth,3.982921274503072,best_hybrid_14.pth,7.590180118878682,0.1,0.9642613956926908,1.0,0.9818055761897687,2.1250516533851624
41,SCADA1_CEN_AUTO_3stacks_128dff_50auto_25trans_0_001lr_64batch,scada1,scada1,new_scada1,3,16,128,1,0.1,50,25,10,15,64,1,4,10,15,default,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_3stacks_128dff_50auto_25trans_0_001lr_64batch/scada1/summary/,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_3stacks_128dff_50auto_25trans_0_001lr_64batch/scada1/result/,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_3stacks_128dff_50auto_25trans_0_001lr_64batch/scada1/checkpoints/,best_autoencoder_8.pth,1.136820340156555,best_hybrid_14.pth,3.9744755665461224,0.1,0.9227632229362334,0.9862633733984942,0.9534571921087913,1.224927266438802
42,SCADA1_CEN_AUTO_2stacks_128dff_200auto_50trans_0_001lr_64batch,scada1,scada1,new_scada1,2,16,128,1,0.1,200,50,20,30,64,1,4,10,15,default,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_2stacks_128dff_200auto_50trans_0_001lr_64batch/scada1/summary/,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_2stacks_128dff_200auto_50trans_0_001lr_64batch/scada1/result/,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_2stacks_128dff_200auto_50trans_0_001lr_64batch/scada1/checkpoints/,best_autoencoder_9.pth,6.3807513078053795,best_hybrid_14.pth,6.739056619008382,0.1,0.9433248261902667,0.999813450237851,0.9707480528889695,1.8475908597310384
43,SCADA1_CEN_AUTO_2stacks_128dff_150auto_50trans_0_001lr_64batch,scada1,scada1,new_scada1,2,16,128,1,0.1,150,50,20,30,64,1,4,10,15,default,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_2stacks_128dff_150auto_50trans_0_001lr_64batch/scada1/summary/,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_2stacks_128dff_150auto_50trans_0_001lr_64batch/scada1/result/,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_2stacks_128dff_150auto_50trans_0_001lr_64batch/scada1/checkpoints/,best_autoencoder_8.pth,4.024633177121481,best_hybrid_14.pth,5.584778249263763,0.1,0.9434858110038907,0.9997205012344529,0.9707894647562396,1.8632632851600648
44,SCADA1_CEN_AUTO_3stacks_128dff_180auto_90trans_0_001lr_64batch,scada1,scada1,new_scada1,3,16,128,1,0.1,180,90,36,54,64,1,4,10,15,default,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_3stacks_128dff_180auto_90trans_0_001lr_64batch/scada1/summary/,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_3stacks_128dff_180auto_90trans_0_001lr_64batch/scada1/result/,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_3stacks_128dff_180auto_90trans_0_001lr_64batch/scada1/checkpoints/,best_autoencoder_8.pth,3.9859297911326093,best_hybrid_14.pth,9.102905138333638,0.1,0.9637926340761482,1.0,0.9815625309436578,2.140775199731191
45,SCADA1_CEN_AUTO_2stacks_128dff_100auto_50trans_0_001lr_64batch,scada1,scada1,new_scada1,2,16,128,1,0.1,100,50,20,30,64,1,4,10,15,default,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_2stacks_128dff_100auto_50trans_0_001lr_64batch/scada1/summary/,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_2stacks_128dff_100auto_50trans_0_001lr_64batch/scada1/result/,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_2stacks_128dff_100auto_50trans_0_001lr_64batch/scada1/checkpoints/,best_autoencoder_8.pth,1.7714277466138204,best_hybrid_14.pth,4.219916303952535,0.1,0.9447498021282209,0.9996975618834916,0.9714473029796084,1.8438077727953592
46,SCADA1_CEN_AUTO_2stacks_128dff_50auto_25trans_0_001lr_64batch,scada1,scada1,new_scada1,2,16,128,1,0.1,50,25,10,15,64,1,4,10,15,default,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_2stacks_128dff_50auto_25trans_0_001lr_64batch/scada1/summary/,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_2stacks_128dff_50auto_25trans_0_001lr_64batch/scada1/result/,../experiments/FNet-Hybrid-GPU/SCADA1_CEN_AUTO_2stacks_128dff_50auto_25trans_0_001lr_64batch/scada1/checkpoints/,best_autoencoder_8.pth,1.1967963655789693,best_hybrid_14.pth,3.659219491481781,0.1,0.9226134391272006,0.9829348831065909,0.9518194026987272,1.4497297167778016
