,experiment,data_dir,auto_dataset,trans_dataset,num_stacks,d_model,d_ff,num_heads,dropout,autoencoder_dims,l_win,pre_mask,post_mask,batch_size,shuffle,dataloader_num_workers,auto_num_epoch,trans_num_epoch,load_dir,summary_dir,result_dir,checkpoint_dir,best_auto_model,auto_train_time,best_trans_model,trans_train_time,AUC,q_best,precision,recall,F1,inference_time
31,SCADA1_CEN_AUTO_3stacks_128dff_100auto_50trans_0_001lr_64batch,scada1,scada1,new_scada1,3,16,128,1,0.1,100,50,20,30,64,1,10,10,15,default,../experiments/SCADA1_CEN_AUTO_3stacks_128dff_100auto_50trans_0_001lr_64batch/scada1/summary/,../experiments/SCADA1_CEN_AUTO_3stacks_128dff_100auto_50trans_0_001lr_64batch/scada1/result/,../experiments/SCADA1_CEN_AUTO_3stacks_128dff_100auto_50trans_0_001lr_64batch/scada1/checkpoints/,best_autoencoder_9.pth,7.67700024843216,best_trans_13.pth,18.072409816582997,0.7382958561247785,0.99,0.7499232310234402,1.0,0.8570927201016111,52.39575616916021
32,SCADA1_CEN_AUTO_2stacks_128dff_50auto_25trans_0_001lr_64batch,scada1,scada1,new_scada1,2,16,128,1,0.1,50,25,10,15,64,1,10,10,15,default,../experiments/SCADA1_CEN_AUTO_2stacks_128dff_50auto_25trans_0_001lr_64batch/scada1/summary/,../experiments/SCADA1_CEN_AUTO_2stacks_128dff_50auto_25trans_0_001lr_64batch/scada1/result/,../experiments/SCADA1_CEN_AUTO_2stacks_128dff_50auto_25trans_0_001lr_64batch/scada1/checkpoints/,best_autoencoder_9.pth,4.125884366035462,best_trans_14.pth,10.051756799221039,0.5510550346570589,0.99,0.6352211379497008,1.0,0.7769238339790103,53.46951204140981
33,SCADA2_CEN_AUTO_4stacks_128dff_150auto_50trans_0_001lr_64batch,scada2,scada2,new_scada1,4,16,128,1,0.1,150,50,20,30,64,1,10,10,15,default,../experiments/SCADA2_CEN_AUTO_4stacks_128dff_150auto_50trans_0_001lr_64batch/scada2/summary/,../experiments/SCADA2_CEN_AUTO_4stacks_128dff_150auto_50trans_0_001lr_64batch/scada2/result/,../experiments/SCADA2_CEN_AUTO_4stacks_128dff_150auto_50trans_0_001lr_64batch/scada2/checkpoints/,best_autoencoder_9.pth,23.98764541943868,best_trans_14.pth,39.99530489444733,0.9933385665822168,0.1,0.9663881396533187,1.0,0.9829068027471894,45.68246848185857
34,SCADA1_CEN_AUTO_3stacks_128dff_150auto_100trans_0_001lr_64batch,scada1,scada1,new_scada1,3,16,128,1,0.1,150,100,40,60,64,1,10,10,15,default,../experiments/SCADA1_CEN_AUTO_3stacks_128dff_150auto_100trans_0_001lr_64batch/scada1/summary/,../experiments/SCADA1_CEN_AUTO_3stacks_128dff_150auto_100trans_0_001lr_64batch/scada1/result/,../experiments/SCADA1_CEN_AUTO_3stacks_128dff_150auto_100trans_0_001lr_64batch/scada1/checkpoints/,best_autoencoder_9.pth,11.281413300832112,best_trans_14.pth,25.969244635105134,0.8700198445386332,0.99,0.8741539855866918,1.0,0.9328518278747981,51.291319048404695
35,SCADA1_CEN_AUTO_2stacks_128dff_150auto_100trans_0_001lr_64batch,scada1,scada1,new_scada1,2,16,128,1,0.1,150,100,40,60,64,1,10,10,15,default,../experiments/SCADA1_CEN_AUTO_2stacks_128dff_150auto_100trans_0_001lr_64batch/scada1/summary/,../experiments/SCADA1_CEN_AUTO_2stacks_128dff_150auto_100trans_0_001lr_64batch/scada1/result/,../experiments/SCADA1_CEN_AUTO_2stacks_128dff_150auto_100trans_0_001lr_64batch/scada1/checkpoints/,best_autoencoder_9.pth,11.45547293027242,best_trans_13.pth,20.647797203063966,0.8623149628781358,0.99,0.8737835705309915,1.0,0.9326408708807061,53.39542679786682
36,SCADA1_CEN_AUTO_2stacks_128dff_150auto_50trans_0_001lr_64batch,scada1,scada1,new_scada1,2,16,128,1,0.1,150,50,20,30,64,1,10,10,15,default,../experiments/SCADA1_CEN_AUTO_2stacks_128dff_150auto_50trans_0_001lr_64batch/scada1/summary/,../experiments/SCADA1_CEN_AUTO_2stacks_128dff_150auto_50trans_0_001lr_64batch/scada1/result/,../experiments/SCADA1_CEN_AUTO_2stacks_128dff_150auto_50trans_0_001lr_64batch/scada1/checkpoints/,best_autoencoder_6.pth,19.185992300510406,best_trans_14.pth,21.2925435145696,0.6991250832920552,0.99,0.7498280378755726,1.0,0.8570305443109967,51.41738137801488
37,SCADA1_CEN_AUTO_1stacks_128dff_100auto_50trans_0_001lr_64batch,scada1,scada1,new_scada1,1,16,128,1,0.1,100,50,20,30,64,1,10,10,15,default,../experiments/SCADA1_CEN_AUTO_1stacks_128dff_100auto_50trans_0_001lr_64batch/scada1/summary/,../experiments/SCADA1_CEN_AUTO_1stacks_128dff_100auto_50trans_0_001lr_64batch/scada1/result/,../experiments/SCADA1_CEN_AUTO_1stacks_128dff_100auto_50trans_0_001lr_64batch/scada1/checkpoints/,best_autoencoder_9.pth,7.63001389503479,best_trans_14.pth,11.099879968166352,0.663394504433918,0.99,0.7498903348442755,1.0,0.8570712345936912,51.02644172906876
38,SCADA2_CEN_AUTO_2stacks_128dff_120auto_40trans_0_001lr_64batch,scada2,scada2,new_scada1,2,16,128,1,0.1,120,40,16,24,64,1,10,10,15,default,../experiments/SCADA2_CEN_AUTO_2stacks_128dff_120auto_40trans_0_001lr_64batch/scada2/summary/,../experiments/SCADA2_CEN_AUTO_2stacks_128dff_120auto_40trans_0_001lr_64batch/scada2/result/,../experiments/SCADA2_CEN_AUTO_2stacks_128dff_120auto_40trans_0_001lr_64batch/scada2/checkpoints/,best_autoencoder_9.pth,16.764872177441916,best_trans_12.pth,23.518279361724854,0.9928458714804425,0.1,0.9617606766335101,1.0,0.9805076512023319,46.70953054825465
39,SCADA2_CEN_AUTO_5stacks_128dff_150auto_50trans_0_001lr_64batch,scada2,scada2,new_scada1,5,16,128,1,0.1,150,50,20,30,64,1,10,10,15,default,../experiments/SCADA2_CEN_AUTO_5stacks_128dff_150auto_50trans_0_001lr_64batch/scada2/summary/,../experiments/SCADA2_CEN_AUTO_5stacks_128dff_150auto_50trans_0_001lr_64batch/scada2/result/,../experiments/SCADA2_CEN_AUTO_5stacks_128dff_150auto_50trans_0_001lr_64batch/scada2/checkpoints/,best_autoencoder_9.pth,23.967392603556316,best_trans_14.pth,43.86454257965088,0.993034461106603,0.1,0.9668622973712517,1.0,0.9831519966227237,52.02937835454941
40,SCADA1_CEN_AUTO_3stacks_128dff_120auto_40trans_0_001lr_64batch,scada1,scada1,new_scada1,3,16,128,1,0.1,120,40,16,24,64,1,10,10,15,default,../experiments/SCADA1_CEN_AUTO_3stacks_128dff_120auto_40trans_0_001lr_64batch/scada1/summary/,../experiments/SCADA1_CEN_AUTO_3stacks_128dff_120auto_40trans_0_001lr_64batch/scada1/result/,../experiments/SCADA1_CEN_AUTO_3stacks_128dff_120auto_40trans_0_001lr_64batch/scada1/checkpoints/,best_autoencoder_8.pth,12.939916253089905,best_trans_14.pth,19.815838901201882,0.7387038616372147,0.99,0.7089272647446216,1.0,0.8296751761995701,51.62587605714798
41,SCADA2_CEN_AUTO_3stacks_128dff_150auto_50trans_0_001lr_64batch,scada2,scada2,new_scada1,3,16,128,1,0.1,150,50,20,30,64,1,10,10,15,default,../experiments/SCADA2_CEN_AUTO_3stacks_128dff_150auto_50trans_0_001lr_64batch/scada2/summary/,../experiments/SCADA2_CEN_AUTO_3stacks_128dff_150auto_50trans_0_001lr_64batch/scada2/result/,../experiments/SCADA2_CEN_AUTO_3stacks_128dff_150auto_50trans_0_001lr_64batch/scada2/checkpoints/,best_autoencoder_9.pth,23.788852540651956,best_trans_14.pth,36.58632189830144,0.9934588371857925,0.1,0.9678302920397446,1.0,0.9836521939466081,58.418514116605124
42,SCADA2_CEN_AUTO_2stacks_128dff_50auto_25trans_0_001lr_64batch,scada2,scada2,new_scada1,2,16,128,1,0.1,50,25,10,15,64,1,10,10,15,default,../experiments/SCADA2_CEN_AUTO_2stacks_128dff_50auto_25trans_0_001lr_64batch/scada2/summary/,../experiments/SCADA2_CEN_AUTO_2stacks_128dff_50auto_25trans_0_001lr_64batch/scada2/result/,../experiments/SCADA2_CEN_AUTO_2stacks_128dff_50auto_25trans_0_001lr_64batch/scada2/checkpoints/,best_autoencoder_9.pth,5.14393196105957,best_trans_14.pth,11.82904353539149,0.9810274222796785,0.1,0.9443090845805778,0.9997696807775577,0.9712482939162732,33.853160349528
43,SCADA2_CEN_AUTO_2stacks_128dff_80auto_40trans_0_001lr_64batch,scada2,scada2,new_scada1,2,16,128,1,0.1,80,40,16,24,64,1,10,10,15,default,../experiments/SCADA2_CEN_AUTO_2stacks_128dff_80auto_40trans_0_001lr_64batch/scada2/summary/,../experiments/SCADA2_CEN_AUTO_2stacks_128dff_80auto_40trans_0_001lr_64batch/scada2/result/,../experiments/SCADA2_CEN_AUTO_2stacks_128dff_80auto_40trans_0_001lr_64batch/scada2/checkpoints/,best_autoencoder_9.pth,8.077695286273956,best_trans_14.pth,15.351222626368205,0.9921001760009028,0.1,0.9606856236995938,1.0,0.979948658864431,38.642015345891316
44,SCADA1_CEN_AUTO_1stacks_128dff_150auto_50trans_0_001lr_64batch,scada1,scada1,new_scada1,1,16,128,1,0.1,150,50,20,30,64,1,10,10,15,default,../experiments/SCADA1_CEN_AUTO_1stacks_128dff_150auto_50trans_0_001lr_64batch/scada1/summary/,../experiments/SCADA1_CEN_AUTO_1stacks_128dff_150auto_50trans_0_001lr_64batch/scada1/result/,../experiments/SCADA1_CEN_AUTO_1stacks_128dff_150auto_50trans_0_001lr_64batch/scada1/checkpoints/,best_autoencoder_6.pth,19.185629443327585,best_trans_14.pth,17.721110181013742,0.8630021998379066,0.99,0.7496963755285992,1.0,0.8569445373653576,50.63617332776388
45,SCADA1_CEN_AUTO_2stacks_128dff_180auto_90trans_0_001lr_64batch,scada1,scada1,new_scada1,2,16,128,1,0.1,180,90,36,54,64,1,10,10,15,default,../experiments/SCADA1_CEN_AUTO_2stacks_128dff_180auto_90trans_0_001lr_64batch/scada1/summary/,../experiments/SCADA1_CEN_AUTO_2stacks_128dff_180auto_90trans_0_001lr_64batch/scada1/result/,../experiments/SCADA1_CEN_AUTO_2stacks_128dff_180auto_90trans_0_001lr_64batch/scada1/checkpoints/,best_autoencoder_7.pth,20.732827770709992,best_trans_12.pth,25.812492398420968,0.9111199134388013,0.99,0.8553945579225944,1.0,0.9220621611398311,51.6569792230924
46,SCADA1_CEN_AUTO_4stacks_128dff_100auto_50trans_0_001lr_64batch,scada1,scada1,new_scada1,4,16,128,1,0.1,100,50,20,30,64,1,10,10,15,default,../experiments/SCADA1_CEN_AUTO_4stacks_128dff_100auto_50trans_0_001lr_64batch/scada1/summary/,../experiments/SCADA1_CEN_AUTO_4stacks_128dff_100auto_50trans_0_001lr_64batch/scada1/result/,../experiments/SCADA1_CEN_AUTO_4stacks_128dff_100auto_50trans_0_001lr_64batch/scada1/checkpoints/,best_autoencoder_7.pth,7.546491579214732,best_trans_14.pth,21.248353485266367,0.7048599081638253,0.99,0.7498355142919804,1.0,0.8570354278074866,50.93365539312363
47,SCADA2_CEN_AUTO_2stacks_128dff_100auto_50trans_0_001lr_64batch,scada2,scada2,new_scada1,2,16,128,1,0.1,100,50,20,30,64,1,10,10,15,default,../experiments/SCADA2_CEN_AUTO_2stacks_128dff_100auto_50trans_0_001lr_64batch/scada2/summary/,../experiments/SCADA2_CEN_AUTO_2stacks_128dff_100auto_50trans_0_001lr_64batch/scada2/result/,../experiments/SCADA2_CEN_AUTO_2stacks_128dff_100auto_50trans_0_001lr_64batch/scada2/checkpoints/,best_autoencoder_8.pth,9.867503126462301,best_trans_14.pth,18.93239111105601,0.9930946465802253,0.1,0.9677875905797102,1.0,0.983630138956817,53.34385112126668
48,SCADA1_CEN_AUTO_2stacks_128dff_160auto_80trans_0_001lr_64batch,scada1,scada1,new_scada1,2,16,128,1,0.1,160,80,32,48,64,1,10,10,15,default,../experiments/SCADA1_CEN_AUTO_2stacks_128dff_160auto_80trans_0_001lr_64batch/scada1/summary/,../experiments/SCADA1_CEN_AUTO_2stacks_128dff_160auto_80trans_0_001lr_64batch/scada1/result/,../experiments/SCADA1_CEN_AUTO_2stacks_128dff_160auto_80trans_0_001lr_64batch/scada1/checkpoints/,best_autoencoder_9.pth,17.31976625521978,best_trans_14.pth,23.225141497453055,0.8116785333009905,0.99,0.8340009356178001,1.0,0.9094880154320741,51.06944399277369
49,SCADA2_CEN_AUTO_1stacks_128dff_150auto_50trans_0_001lr_64batch,scada2,scada2,new_scada1,1,16,128,1,0.1,150,50,20,30,64,1,10,10,15,default,../experiments/SCADA2_CEN_AUTO_1stacks_128dff_150auto_50trans_0_001lr_64batch/scada2/summary/,../experiments/SCADA2_CEN_AUTO_1stacks_128dff_150auto_50trans_0_001lr_64batch/scada2/result/,../experiments/SCADA2_CEN_AUTO_1stacks_128dff_150auto_50trans_0_001lr_64batch/scada2/checkpoints/,best_autoencoder_9.pth,24.220757619539896,best_trans_14.pth,26.438542131582896,0.9937575519043411,0.1,0.967355184653727,1.0,0.983406750544631,62.97493917147319
50,SCADA1_CEN_AUTO_5stacks_128dff_100auto_50trans_0_001lr_64batch,scada1,scada1,new_scada1,5,16,128,1,0.1,100,50,20,30,64,1,10,10,15,default,../experiments/SCADA1_CEN_AUTO_5stacks_128dff_100auto_50trans_0_001lr_64batch/scada1/summary/,../experiments/SCADA1_CEN_AUTO_5stacks_128dff_100auto_50trans_0_001lr_64batch/scada1/result/,../experiments/SCADA1_CEN_AUTO_5stacks_128dff_100auto_50trans_0_001lr_64batch/scada1/checkpoints/,best_autoencoder_8.pth,7.582842143376668,best_trans_14.pth,24.804454509417216,0.6956388066473951,0.99,0.7498464777612072,1.0,0.8570425889253753,50.209844374656676
51,SCADA1_CEN_AUTO_2stacks_128dff_200auto_50trans_0_001lr_64batch,scada1,scada1,new_scada1,2,16,128,1,0.1,200,50,20,30,64,1,10,10,15,default,../experiments/SCADA1_CEN_AUTO_2stacks_128dff_200auto_50trans_0_001lr_64batch/scada1/summary/,../experiments/SCADA1_CEN_AUTO_2stacks_128dff_200auto_50trans_0_001lr_64batch/scada1/result/,../experiments/SCADA1_CEN_AUTO_2stacks_128dff_200auto_50trans_0_001lr_64batch/scada1/checkpoints/,best_autoencoder_8.pth,37.025682950019835,best_trans_14.pth,34.556589567661284,0.8563470124156822,0.99,0.7496119035763451,1.0,0.8568893501971255,52.238961378733315
52,SCADA2_CEN_AUTO_3stacks_128dff_50auto_25trans_0_001lr_64batch,scada2,scada2,new_scada1,3,16,128,1,0.1,50,25,10,15,64,1,10,10,15,default,../experiments/SCADA2_CEN_AUTO_3stacks_128dff_50auto_25trans_0_001lr_64batch/scada2/summary/,../experiments/SCADA2_CEN_AUTO_3stacks_128dff_50auto_25trans_0_001lr_64batch/scada2/result/,../experiments/SCADA2_CEN_AUTO_3stacks_128dff_50auto_25trans_0_001lr_64batch/scada2/checkpoints/,best_autoencoder_9.pth,5.142956773440043,best_trans_14.pth,14.825189530849457,0.9873240472821272,0.1,0.9465695468225237,0.9996775530885808,0.9723989604803299,39.51408450603485
53,SCADA1_CEN_AUTO_5stacks_128dff_150auto_50trans_0_001lr_64batch,scada1,scada1,new_scada1,5,16,128,1,0.1,150,50,20,30,64,1,10,10,15,default,../experiments/SCADA1_CEN_AUTO_5stacks_128dff_150auto_50trans_0_001lr_64batch/scada1/summary/,../experiments/SCADA1_CEN_AUTO_5stacks_128dff_150auto_50trans_0_001lr_64batch/scada1/result/,../experiments/SCADA1_CEN_AUTO_5stacks_128dff_150auto_50trans_0_001lr_64batch/scada1/checkpoints/,best_autoencoder_9.pth,19.486023422082265,best_trans_14.pth,34.26700838406881,0.8935952806255141,0.1,0.9671360616128059,1.0,0.9832935102820239,31.755186851819357
54,SCADA2_CEN_AUTO_2stacks_128dff_100auto_25trans_0_001lr_64batch,scada2,scada2,new_scada1,2,16,128,1,0.1,100,25,10,15,64,1,10,10,15,default,../experiments/SCADA2_CEN_AUTO_2stacks_128dff_100auto_25trans_0_001lr_64batch/scada2/summary/,../experiments/SCADA2_CEN_AUTO_2stacks_128dff_100auto_25trans_0_001lr_64batch/scada2/result/,../experiments/SCADA2_CEN_AUTO_2stacks_128dff_100auto_25trans_0_001lr_64batch/scada2/checkpoints/,best_autoencoder_9.pth,14.057315746943155,best_trans_13.pth,21.732348108291625,0.9839389511100696,0.1,0.9436803621169917,0.9999077660948165,0.9709807433945365,37.43445295890172
55,SCADA2_CEN_AUTO_3stacks_128dff_100auto_25trans_0_001lr_64batch,scada2,scada2,new_scada1,3,16,128,1,0.1,100,25,10,15,64,1,10,10,15,default,../experiments/SCADA2_CEN_AUTO_3stacks_128dff_100auto_25trans_0_001lr_64batch/scada2/summary/,../experiments/SCADA2_CEN_AUTO_3stacks_128dff_100auto_25trans_0_001lr_64batch/scada2/result/,../experiments/SCADA2_CEN_AUTO_3stacks_128dff_100auto_25trans_0_001lr_64batch/scada2/checkpoints/,best_autoencoder_9.pth,12.987766790390015,best_trans_13.pth,23.933178559939066,0.9876207241350496,0.1,0.9448366013071895,1.0,0.9716359725769593,49.944349956512454
56,SCADA2_CEN_AUTO_2stacks_128dff_200auto_100trans_0_001lr_64batch,scada2,scada2,new_scada1,2,16,128,1,0.1,200,100,40,60,64,1,10,10,15,default,../experiments/SCADA2_CEN_AUTO_2stacks_128dff_200auto_100trans_0_001lr_64batch/scada2/summary/,../experiments/SCADA2_CEN_AUTO_2stacks_128dff_200auto_100trans_0_001lr_64batch/scada2/result/,../experiments/SCADA2_CEN_AUTO_2stacks_128dff_200auto_100trans_0_001lr_64batch/scada2/checkpoints/,best_autoencoder_9.pth,31.061835809548697,best_trans_14.pth,42.44291176001231,0.9969905359290225,0.1,0.985420721047597,1.0,0.9926568314726208,80.79556394020716
57,SCADA1_CEN_AUTO_3stacks_128dff_200auto_100trans_0_001lr_64batch,scada1,scada1,new_scada1,3,16,128,1,0.1,200,100,40,60,64,1,10,10,15,default,../experiments/SCADA1_CEN_AUTO_3stacks_128dff_200auto_100trans_0_001lr_64batch/scada1/summary/,../experiments/SCADA1_CEN_AUTO_3stacks_128dff_200auto_100trans_0_001lr_64batch/scada1/result/,../experiments/SCADA1_CEN_AUTO_3stacks_128dff_200auto_100trans_0_001lr_64batch/scada1/checkpoints/,best_autoencoder_8.pth,26.353797773520153,best_trans_14.pth,37.821254567305246,0.9587550396334097,0.1,0.9862502682270604,1.0,0.9930775431510891,31.18515282869339
58,SCADA2_CEN_AUTO_4stacks_128dff_100auto_50trans_0_001lr_64batch,scada2,scada2,new_scada1,4,16,128,1,0.1,100,50,20,30,64,1,10,10,15,default,../experiments/SCADA2_CEN_AUTO_4stacks_128dff_100auto_50trans_0_001lr_64batch/scada2/summary/,../experiments/SCADA2_CEN_AUTO_4stacks_128dff_100auto_50trans_0_001lr_64batch/scada2/result/,../experiments/SCADA2_CEN_AUTO_4stacks_128dff_100auto_50trans_0_001lr_64batch/scada2/checkpoints/,best_autoencoder_9.pth,10.056837836901346,best_trans_14.pth,26.255925285816193,0.9934780291467038,0.1,0.968189541249764,1.0,0.9838377056256294,40.40164113839467
59,SCADA2_CEN_AUTO_2stacks_128dff_160auto_80trans_0_001lr_64batch,scada2,scada2,new_scada1,2,16,128,1,0.1,160,80,32,48,64,1,10,10,15,default,../experiments/SCADA2_CEN_AUTO_2stacks_128dff_160auto_80trans_0_001lr_64batch/scada2/summary/,../experiments/SCADA2_CEN_AUTO_2stacks_128dff_160auto_80trans_0_001lr_64batch/scada2/result/,../experiments/SCADA2_CEN_AUTO_2stacks_128dff_160auto_80trans_0_001lr_64batch/scada2/checkpoints/,best_autoencoder_9.pth,21.527543354034425,best_trans_14.pth,31.11853710015615,0.9956543042252577,0.1,0.9802570535069933,1.0,0.9900301092436244,51.16725912491481
60,SCADA1_CEN_AUTO_2stacks_128dff_100auto_25trans_0_001lr_64batch,scada1,scada1,new_scada1,2,16,128,1,0.1,100,25,10,15,64,1,10,10,15,default,../experiments/SCADA1_CEN_AUTO_2stacks_128dff_100auto_25trans_0_001lr_64batch/scada1/summary/,../experiments/SCADA1_CEN_AUTO_2stacks_128dff_100auto_25trans_0_001lr_64batch/scada1/result/,../experiments/SCADA1_CEN_AUTO_2stacks_128dff_100auto_25trans_0_001lr_64batch/scada1/checkpoints/,best_autoencoder_8.pth,10.633463843663533,best_trans_14.pth,15.090137588977814,0.6006871498248493,0.99,0.6348983266722298,1.0,0.7766823371390195,51.959138162930806
61,SCADA2_CEN_AUTO_2stacks_128dff_180auto_90trans_0_001lr_64batch,scada2,scada2,new_scada1,2,16,128,1,0.1,180,90,36,54,64,1,10,10,15,default,../experiments/SCADA2_CEN_AUTO_2stacks_128dff_180auto_90trans_0_001lr_64batch/scada2/summary/,../experiments/SCADA2_CEN_AUTO_2stacks_128dff_180auto_90trans_0_001lr_64batch/scada2/result/,../experiments/SCADA2_CEN_AUTO_2stacks_128dff_180auto_90trans_0_001lr_64batch/scada2/checkpoints/,best_autoencoder_9.pth,26.389100448290506,best_trans_14.pth,36.071146408716835,0.9958561248156199,0.1,0.983276748798279,1.0,0.9915678680689147,55.38221488793691
62,SCADA2_CEN_AUTO_2stacks_128dff_120auto_60trans_0_001lr_64batch,scada2,scada2,new_scada1,2,16,128,1,0.1,120,60,24,36,64,1,10,10,15,default,../experiments/SCADA2_CEN_AUTO_2stacks_128dff_120auto_60trans_0_001lr_64batch/scada2/summary/,../experiments/SCADA2_CEN_AUTO_2stacks_128dff_120auto_60trans_0_001lr_64batch/scada2/result/,../experiments/SCADA2_CEN_AUTO_2stacks_128dff_120auto_60trans_0_001lr_64batch/scada2/checkpoints/,best_autoencoder_9.pth,12.962148574988047,best_trans_14.pth,22.810757184028624,0.9946644734109154,0.1,0.9727763734565095,1.0,0.9862003484481154,70.63880999883015
63,SCADA2_CEN_AUTO_3stacks_128dff_200auto_100trans_0_001lr_64batch,scada2,scada2,new_scada1,3,16,128,1,0.1,200,100,40,60,64,1,10,10,15,default,../experiments/SCADA2_CEN_AUTO_3stacks_128dff_200auto_100trans_0_001lr_64batch/scada2/summary/,../experiments/SCADA2_CEN_AUTO_3stacks_128dff_200auto_100trans_0_001lr_64batch/scada2/result/,../experiments/SCADA2_CEN_AUTO_3stacks_128dff_200auto_100trans_0_001lr_64batch/scada2/checkpoints/,best_autoencoder_9.pth,31.69109824895859,best_trans_14.pth,49.78679440418879,0.9964308619323731,0.1,0.9855344978309993,1.0,0.9927145551060418,82.70384347041448
